,relevant_sentences,sent_count_x,rel_match_all,sent_count_y,company_label,company_index,sent_index,label
0,"In 2021, 9.6% of our purchased electricity came from renewable sources.",11,"Looking toward the future, we have set climate goals for 2030 as we work toward contributing to a low-carbon economy: Secure 100% of our purchased electricity from renewable sources In 2021, 9.6% of our purchased electricity came from renewable sources.",40,EliLilly,0001,0020,rel
1,"A large portion of this renewable electricity is delivered through our utility providers to our sites in Alcobendas, Spain; Kinsale, Ireland; and Bracknell, UK.",24,"A large portion of this renewable electricity is delivered through our utility providers to our sites in Alcobendas, Spain; Kinsale, Ireland; and Bracknell, UK.",24,EliLilly,0001,0021,rel
2,"From 2012 to 2020, we achieved a 26% reduction in absolute emissions.",12,"From 2012 to 2020, we achieved a 26% reduction in absolute emissions.",12,EliLilly,0001,0025,rel
3,"In 2021, we achieved a 9% absolute emissions reduction versus 2020.",11,"In 2021, we achieved a 9% absolute emissions reduction versus 2020.",11,EliLilly,0001,0026,rel
4,This reduction was partially driven by energy e�ciency improvements and an increase in the use of renewable electricity including the startup of our solar array in Kinsale.,27,This reduction was partially driven by energy e�ciency improvements and an increase in the use of renewable electricity including the startup of our solar array in Kinsale.,27,EliLilly,0001,0027,rel
5,"In 2021, we reduced our energy consumption by 2.9%,",9,"In 2021, we reduced our energy consumption by 2.9%, and we reduced our absolute GHG emissions by 9% compared to 2020.",21,EliLilly,0001,0035,rel
6,"In 2021, 9.6% of our purchased electricity was secured from renewable sources.",12,"Enhancing the Use of Solar In 2021, 9.6% of our purchased electricity was secured from renewable sources.",17,EliLilly,0001,0056,rel
7,We have reduced GHG emissions at key facilities by leveraging solar energy.,12,We have reduced GHG emissions at key facilities by leveraging solar energy.,12,EliLilly,0001,0057,rel
8,"These projects include: Kinsale – In July, 2021, Lilly started up a 20-acre solar array in Kinsale, Ireland consisting of over 12,600 solar panels, which at the time of construction represented the largest solar development in Ireland.",37,"These projects include: Kinsale – In July, 2021, Lilly started up a 20-acre solar array in Kinsale, Ireland consisting of over 12,600 solar panels, which at the time of construction represented the largest solar development in Ireland.",37,EliLilly,0001,0058,rel
9,"The solar array is expected to provide up to 15% of the site’s purchased electricity, resulting in an estimated 2,350 tonne reduction in the site’s annual carbon footprint.",28,"The solar array is expected to provide up to 15% of the site’s purchased electricity, resulting in an estimated 2,350 tonne reduction in the site’s annual carbon footprint.",28,EliLilly,0001,0059,rel
10,"In 2019, Lilly India began operating a rooftop solar array on its administrative building in Gurugram (Gurgaon), India.",18,"India – In 2019, Lilly India began operating a rooftop solar array on its administrative building in Gurugram (Gurgaon), India.",20,EliLilly,0001,0062,rel
11,The 40-kW capacity solar panels will help reduce Lilly’s carbon footprint in the city – a key priority due to rising pollution levels.,23,The 40-kW capacity solar panels will help reduce Lilly’s carbon footprint in the city – a key priority due to rising pollution levels.,23,EliLilly,0001,0063,rel
12,The solar panels supply approximately 10% of the site’s energy needs.,11,The solar panels supply approximately 10% of the site’s energy needs.,11,EliLilly,0001,0064,rel
13,"Manufacturing facilities in Fegersheim, France and Sesto, Italy have solar arrays of 62 kW and 145 kW, respectively.",18,"Manufacturing facilities in Fegersheim, France and Sesto, Italy have solar arrays of 62 kW and 145 kW, respectively.",18,EliLilly,0001,0065,rel
14,"For example, Lilly’s �eet in Japan consists of approximately 80% hybrid vehicles, and our a�liate in Germany has begun including electric vehicles in their �eet offering.",26,"For example, Lilly’s �eet in Japan consists of approximately 80% hybrid vehicles, and our a�liate in Germany has begun including electric vehicles in their �eet offering.",26,EliLilly,0001,0080,rel
15,"In 2020, a new solar array was installed at one of our offices in Australia Our company recently signed three virtual power purchase agreements (VPPAs) for utility-scale energy projects based in Texas and Spain.",34,Our company recently signed three virtual power purchase agreements (VPPAs) for utility-scale energy projects based in Texas and Spain.,19,Merck,0003,1178,rel
16,These projects will address approximately 35 percent of our company’s Scope 2 emissions by collectively adding 145 megawatts (MW) of solar and wind energy to the grid.,27,These projects will address approximately 35 percent of our company’s Scope 2 emissions by collectively adding 145 megawatts (MW) of solar and wind energy to the grid.,27,Merck,0003,1179,rel
17,"These agreements follow a 2018 U.S. wind VPPA, which has added 60 MW of new renewable energy capacity, while providing our company with the associated renewable energy credits.",28,"These agreements follow a 2018 U.S. wind VPPA, which has added 60 MW of new renewable energy capacity, while providing our company with the associated renewable energy credits.",28,Merck,0003,1180,rel
18,Approximately nine percent of our total Scope 1 and 2 GHG emissions are associated with our vehicle fleet.,18,Vehicle fleet Approximately nine percent of our total Scope 1 and 2 GHG emissions are associated with our vehicle fleet.,20,Merck,0003,1181,rel
19,"40 percent of our U.S. fleet are now partial-zero-emission vehicles (PZEV), and we are expanding our use of hybrid vehicles.",20,"• 40 percent of our U.S. fleet are now partial-zero-emission vehicles (PZEV), and we are expanding our use of hybrid vehicles.",21,Merck,0003,1185,rel
20,Over 50 percent of the vehicles being utilized in our Asia/Pacific markets are hybrids.,14,• Over 50 percent of the vehicles being utilized in our Asia/Pacific markets are hybrids.,15,Merck,0003,1187,rel
