,n-gram,irr_count,rel_count,difference,perc difference
37,"Sustainability, Report",1255.0,0.0,1255.0,1.0
46,"human, rights",1046.0,0.0,1046.0,1.0
51,"health, and",983.0,0.0,983.0,1.0
55,"Code, of",958.0,0.0,958.0,1.0
58,"our, employees",935.0,0.0,935.0,1.0
60,"to, ensure",914.0,0.0,914.0,1.0
64,"Human, Rights",858.0,0.0,858.0,1.0
78,"and, safety",747.0,0.0,747.0,1.0
82,"of, Conduct",729.0,0.0,729.0,1.0
85,"Supply, Chain",714.0,0.0,714.0,1.0
98,"employees, and",666.0,0.0,666.0,1.0
99,"this, report",660.0,0.0,660.0,1.0
106,"the, organization",636.0,0.0,636.0,1.0
107,"and, opportunities",635.0,0.0,635.0,1.0
110,"Sustainable, Development",615.0,0.0,615.0,1.0
113,"ESG, Report",614.0,0.0,614.0,1.0
116,"Board, of",608.0,0.0,608.0,1.0
118,"Report, 2021",602.0,0.0,602.0,1.0
122,"of, Directors",594.0,0.0,594.0,1.0
125,"the, Board",588.0,0.0,588.0,1.0
126,"2021, ESG",587.0,0.0,587.0,1.0
133,"0, 0",563.0,0.0,563.0,1.0
137,"ESG, REPORT",555.0,0.0,555.0,1.0
146,"Impact, Report",539.0,0.0,539.0,1.0
149,"we, work",531.0,0.0,531.0,1.0
159,"Responsible, Sourcing",516.0,0.0,516.0,1.0
160,"how, we",515.0,0.0,515.0,1.0
163,"Climate, Change",505.0,0.0,505.0,1.0
170,"and, their",491.0,0.0,491.0,1.0
178,"Proxy, Statement",480.0,0.0,480.0,1.0
183,"and, inclusion",473.0,0.0,473.0,1.0
188,"more, about",461.0,0.0,461.0,1.0
190,"As, a",460.0,0.0,460.0,1.0
195,"within, the",450.0,0.0,450.0,1.0
198,"the, future",447.0,0.0,447.0,1.0
200,"”, “",441.0,0.0,441.0,1.0
202,"work, with",438.0,0.0,438.0,1.0
207,"included, in",433.0,0.0,433.0,1.0
209,"is, not",430.0,0.0,430.0,1.0
211,"employees, to",430.0,0.0,430.0,1.0
215,"and, are",428.0,0.0,428.0,1.0
217,"range, of",426.0,0.0,426.0,1.0
219,"0.0, 0.0",423.0,0.0,423.0,1.0
221,"•, •",419.0,0.0,419.0,1.0
224,"safety, and",418.0,0.0,418.0,1.0
228,"about, our",415.0,0.0,415.0,1.0
234,"into, the",408.0,0.0,408.0,1.0
236,"accordance, with",406.0,0.0,406.0,1.0
239,"Our, People",404.0,0.0,404.0,1.0
251,"management, approach",392.0,0.0,392.0,1.0
254,"in, accordance",391.0,0.0,391.0,1.0
253,"compliance, with",391.0,0.0,391.0,1.0
255,"of, water",390.0,0.0,390.0,1.0
259,"We, believe",387.0,0.0,387.0,1.0
261,"Our, Approach",382.0,0.0,382.0,1.0
263,"it, is",382.0,0.0,382.0,1.0
267,"risk, management",376.0,0.0,376.0,1.0
271,"social, and",373.0,0.0,373.0,1.0
275,"more, information",369.0,0.0,369.0,1.0
278,"Progress, Report",368.0,0.0,368.0,1.0
283,"ensure, that",364.0,0.0,364.0,1.0
284,"the, communities",364.0,0.0,364.0,1.0
285,"–, –",363.0,0.0,363.0,1.0
286,"responsible, for",363.0,0.0,363.0,1.0
292,"CORPORATE, RESPONSIBILITY",358.0,0.0,358.0,1.0
293,"For, more",357.0,0.0,357.0,1.0
298,"on, page",352.0,0.0,352.0,1.0
