,Unnamed: 0,Unnamed: 0.1,sentences,label,past tense
0,0,0,"From 2012 to 2020, we achieved a 26% reduction in absolute emissions.",1,True
1,1,1,"In 2021, we achieved a 9% absolute emissions reduction versus 2020.",1,True
2,2,2,This reduction was partially driven by energy e�ciency improvements and an increase in the use of renewable electricity including the startup of our solar array in Kinsale.,1,True
3,3,3,"In 2021, 9.6% of our purchased electricity came from renewable sources.",1,True
4,4,4,"A large portion of this renewable electricity is delivered through our utility providers to our sites in Alcobendas, Spain; Kinsale, Ireland; and Bracknell, UK.",1,True
5,5,5,"In 2021, we reduced our energy consumption by 2.9%,",1,True
6,6,6,"In 2021, 9.6% of our purchased electricity was secured from renewable sources.",1,True
7,7,7,We have reduced GHG emissions at key facilities by leveraging solar energy.,1,True
8,8,8,"These projects include: Kinsale – In July, 2021, Lilly started up a 20-acre solar array in Kinsale, Ireland consisting of over 12,600 solar panels, which at the time of construction represented the largest solar development in Ireland.",1,False
9,9,9,"The solar array is expected to provide up to 15% of the site’s purchased electricity, resulting in an estimated 2,350 tonne reduction in the site’s annual carbon footprint.",1,True
10,10,10,"Manufacturing facilities in Fegersheim, France and Sesto, Italy have solar arrays of 62 kW and 145 kW, respectively.",1,False
11,11,11,"In 2019, Lilly India began operating a rooftop solar array on its administrative building in Gurugram (Gurgaon), India.",1,True
12,12,12,The 40-kW capacity solar panels will help reduce Lilly’s carbon footprint in the city – a key priority due to rising pollution levels.,1,False
13,13,13,The solar panels supply approximately 10% of the site’s energy needs.,1,False
14,14,14,"For example, Lilly’s �eet in Japan consists of approximately 80% hybrid vehicles, and our a�liate in Germany has begun including electric vehicles in their �eet offering.",1,True
15,15,0,"7/7/22, 10:29 AM Environmental | 2021 ESG Report | Eli Lilly and Company https://esg.lilly.com/environmental#tab-control-tab4 6/7 Scope 1 Not previously reported Not previously reported Not previously reported 157,000 Scope 2 Not previously reported Not previously reported Not previously reported 466,000 Scope 3 Emissions (metric tonnes CO2e) 263,000 235,000 176,000 Not yet available Total Energy Consumption (million BTUs) 6,650,000 6,400,000 6,200,000 6,100,000 Direct Energy Consumption (million BTUs) 1,730,000 1,690,000 1,700,000 1,600,000 Indirect Energy Consumption (million BTUs) 4,920,000 4,700,000 4,500,000 4,500,000 Renewable Electricity Not previously reported Not previously reported 7.0% 9.6% 100% Renewable Electricity 100% 9.6% Carbon Neutral (Market-Based Scope 1 and Scope 2) Carbon Neutral 623,000 tonnes CO2e Enhance Tracking and Reporting of Full Value-Chain Emissions (Scope 3) N/A On track Footnotes Note: Some segments do not add up to totals due to rounding.",0,True
16,16,1,"In Indianapolis, a chiller was replaced with a new, higher e�ciency chiller.",0,True
17,17,2,"Offsetting remaining emissions and energy sources that could not be reduced or replaced, by purchasing emissions offsets from high-quality, third-party veri�ed carbon reduction projects (note: it is not currently possible to eliminate all emissions sources or transition all direct energy supplies to renewable sources).",0,False
18,18,3,For more information regarding our governance and approach to climate change and related risks/opportunities see our  CDP Climate response.,0,False
19,19,4,"Data includes energy from purchased electricity, steam and chilled water.",0,False
20,20,5,Our 2030 Environmental Goals Climate Carbon neutral in our own operations 100% renewable electricity Enhance full value-chain emissions reporting Waste Zero waste to land�ll 100% of plastic waste repurposed for bene�cial use with at least 90% recycled or reused Integrate sustainability into product and packaging design Water No adverse impact to water-stressed areas No adverse impact from pharmaceuticals in the environment Climate Waste Water Product Stewardship Climate Our Environmental Approach Skip to main content Menu,0,False
21,21,6,"In This Section Climate Action Strategy 2030 Climate Goals and Progress to Date  Recent Achievements Reducing Our Energy Use Emissions Reducing Emissions through Cleaner Energy Offsetting through Carbon Removal Projects Scope 3 Emissions and Supply Chain Engagement Climate Performance Data Climate Action Strategy To mitigate the impact of Lilly’s business operations on the environment and achieve our 2030 goals (described below), we are applying a comprehensive three-pronged approach:   1.",0,False
