,matched_rel,original_rel,company_label,matched_rel_only
0,"('From 2012 to 2020, we achieved a 26% reduction in absolute emissions.', 100)","From 2012 to 2020, we achieved a 26% reduction in absolute emissions.",EliLilly,"From 2012 to 2020, we achieved a 26% reduction in absolute emissions."
1,"('In 2021, we achieved a 9% absolute emissions reduction versus 2020.', 100)","In 2021, we achieved a 9% absolute emissions reduction versus 2020.",EliLilly,"In 2021, we achieved a 9% absolute emissions reduction versus 2020."
2,"('This reduction was partially driven by energy e�ciency improvements and an increase in the use of renewable electricity including the startup of our solar array in Kinsale.', 100)",This reduction was partially driven by energy e�ciency improvements and an increase in the use of renewable electricity including the startup of our solar array in Kinsale.,EliLilly,This reduction was partially driven by energy e�ciency improvements and an increase in the use of renewable electricity including the startup of our solar array in Kinsale.
3,"('Looking toward the future, we have set climate goals for 2030 as we work toward contributing to a low-carbon economy:\xa0 Secure 100% of our purchased electricity from renewable sources In 2021, 9.6% of our purchased electricity came from renewable sources.', 100)","In 2021, 9.6% of our purchased electricity came from renewable sources.",EliLilly,"Looking toward the future, we have set climate goals for 2030 as we work toward contributing to a low-carbon economy:  Secure 100% of our purchased electricity from renewable sources In 2021, 9.6% of our purchased electricity came from renewable sources."
4,"('A large portion of this renewable electricity is delivered through our utility providers to our sites in Alcobendas, Spain; Kinsale, Ireland; and Bracknell, UK.', 100)","A large portion of this renewable electricity is delivered through our utility providers to our sites in Alcobendas, Spain; Kinsale, Ireland; and Bracknell, UK.",EliLilly,"A large portion of this renewable electricity is delivered through our utility providers to our sites in Alcobendas, Spain; Kinsale, Ireland; and Bracknell, UK."
5,"('In 2021, we reduced our energy consumption by 2.9%, and we reduced our absolute GHG emissions by 9% compared to 2020.', 100)","In 2021, we reduced our energy consumption by 2.9%,",EliLilly,"In 2021, we reduced our energy consumption by 2.9%, and we reduced our absolute GHG emissions by 9% compared to 2020."
6,"('Enhancing the Use of Solar In 2021, 9.6% of our purchased electricity was secured from renewable sources.', 100)","In 2021, 9.6% of our purchased electricity was secured from renewable sources.",EliLilly,"Enhancing the Use of Solar In 2021, 9.6% of our purchased electricity was secured from renewable sources."
7,"('We have reduced GHG emissions at key facilities by leveraging solar energy.', 100)",We have reduced GHG emissions at key facilities by leveraging solar energy.,EliLilly,We have reduced GHG emissions at key facilities by leveraging solar energy.
8,"('These projects include:  Kinsale – In July, 2021, Lilly started up a 20-acre solar array in Kinsale, Ireland consisting of over 12,600 solar panels, which at the time of construction represented the largest solar development in Ireland.', 100)","These projects include: Kinsale – In July, 2021, Lilly started up a 20-acre solar array in Kinsale, Ireland consisting of over 12,600 solar panels, which at the time of construction represented the largest solar development in Ireland.",EliLilly,"These projects include:  Kinsale – In July, 2021, Lilly started up a 20-acre solar array in Kinsale, Ireland consisting of over 12,600 solar panels, which at the time of construction represented the largest solar development in Ireland."
9,"('The solar array is expected to provide up to 15% of the site’s purchased electricity, resulting in an estimated 2,350 tonne reduction in the site’s annual carbon footprint.', 100)","The solar array is expected to provide up to 15% of the site’s purchased electricity, resulting in an estimated 2,350 tonne reduction in the site’s annual carbon footprint.",EliLilly,"The solar array is expected to provide up to 15% of the site’s purchased electricity, resulting in an estimated 2,350 tonne reduction in the site’s annual carbon footprint."
