company_label,irrelevant_sentences,relevant_sentences,rel/total percentages
EliLilly,84,15,15.15
UnitedHealthGroup,1012,0,0.0
Merck,2384,10,0.42
BristolMyersSquibb,1172,4,0.34
Danaher,931,1,0.11
johnsonandjohnson,1917,13,0.67
Pfizer,52,0,0.0
Abbott,2030,8,0.39
ThermoFisherScientifiic,873,5,0.57
Amgen,1098,4,0.36
Caterpillar,657,20,2.95
Lockheed,1000,5,0.5
Boeing,1134,7,0.61
UPS,75,11,12.79
Raytheon,1215,11,0.9
Delta,656,45,6.42
Deere,884,7,0.79
Honeywell,717,8,1.1
3M,3202,5,0.16
UnionPacific,279,15,5.1
Total,1274,71,5.28
BP,1151,48,4.0
Shell,1124,11,0.97
Mondelez_Intl,1432,21,1.45
Hershey,1300,10,0.76
Philip_Morris_Intl,3745,8,0.21
PepsiCo,218,7,3.11
Altria_Environmental,25,0,0.0
PandG,787,11,1.38
Altria_TCFD,333,0,0.0
Costco,125,0,0.0
CocaCola,1204,8,0.66
Altria_2021,381,1,0.26
Walmart,560,3,0.53
EsteeLauder,1687,13,0.76
McDonalds,358,4,1.1
TJX,1445,20,1.37
HomeDepot,1415,15,1.05
Lowes,768,3,0.39
Target,1515,7,0.46
BookingHoldings,751,13,1.7
Tesla,1364,3,0.22
Amazon,1585,28,1.74
Nike,1864,12,0.64
Starbucks,929,4,0.43
Accenture,553,14,2.47
Broadcom,523,10,1.88
Mastercard,1153,22,1.87
Nvidia,946,4,0.42
Oracle,709,4,0.56
Cisco,1453,16,1.09
Microsoft,1804,64,3.43
VIsa,592,11,1.82
Adobe,199,3,1.49
Apple,1939,29,1.47
AmericanTowerCorp,1134,13,1.13
Prologis,793,24,2.94
CrownCastle,120,2,1.64
Linde,2081,26,1.23
Ecolab,1352,9,0.66
SherwinWilliams,948,2,0.21
IntrntlFlavorsandFragrances,1800,1,0.06
FreeportMcmoran,765,8,1.03
Nucor,539,4,0.74
AirProducts,806,6,0.74
Corteva,737,0,0.0
NewmontMining,565,11,1.91
Dow,2815,7,0.25
Dominion_Energy,660,2,0.3
Duke_Energy,971,25,2.51
AEP,1544,21,1.34
NextEraEnergyZeroCarbonBlueprint,193,18,8.53
