,both_word,rel_freq,rel_doc_freq,irr_freq,irr_doc_freq
0,emissions,375,62,6876,66
1,energy,288,57,6516,65
2,renewable,203,53,1920,65
3,scope,192,46,3443,66
4,carbon,180,47,2898,65
5,electricity,153,47,1343,65
6,solar,107,28,656,54
7,reduction,101,45,1515,65
8,million,95,31,2632,64
9,mw,92,19,147,54
10,reduce,88,47,1949,66
11,ghg,87,36,2218,63
12,percent,87,20,1363,61
13,year,85,41,3057,66
14,metric,76,28,1438,65
15,projects,75,30,1452,63
16,power,74,34,1321,65
17,tons,69,28,1112,58
18,gas,68,22,1714,66
19,wind,68,18,309,53
20,use,64,44,3702,66
21,fuel,63,25,979,65
22,total,59,37,3039,65
23,goal,55,32,1897,66
24,efficiency,54,27,1167,62
25,new,53,57,4091,66
26,operations,51,29,3185,66
27,reduced,50,30,457,60
28,net,49,30,1084,65
29,across,46,22,2955,65
30,per,45,55,1253,66
31,company,45,13,5156,66
32,fiscal,44,7,748,39
33,zero,42,26,1208,63
34,reducing,42,18,985,64
35,capacity,42,15,483,58
36,project,41,35,928,66
37,absolute,41,28,310,50
38,purchased,40,25,549,59
39,facilities,40,21,1386,64
40,compared,40,21,445,56
41,baseline,39,30,625,58
42,approximately,38,18,679,60
43,target,37,30,1557,66
44,consumption,35,24,1044,64
45,achieve,34,33,1125,65
46,generation,33,13,710,64
47,natural,32,7,1028,64
48,including,31,21,3951,66
49,achieved,31,21,504,61
50,chain,30,19,3344,64
51,sites,30,14,1528,59
52,purchase,28,36,335,64
53,increase,28,29,1308,66
54,also,28,21,4252,66
55,intensity,28,17,721,57
56,mwh,28,11,289,34
57,system,27,20,1556,65
58,sources,26,21,741,66
59,greenhouse,26,15,845,64
60,production,26,11,1165,59
61,hydrogen,26,10,459,23
62,due,25,18,1127,64
63,equivalent,25,17,320,57
64,products,25,12,5228,64
65,business,24,16,6514,66
66,generated,24,16,470,62
67,global,23,23,6173,66
68,annual,23,21,1668,65
69,direct,23,20,976,66
70,fleet,23,15,377,47
71,value,23,14,2008,66
72,europe,23,14,583,53
73,aim,23,10,671,65
74,storage,23,10,415,48
75,climate,22,19,4277,66
76,decreased,22,16,109,37
77,portfolio,22,15,778,55
78,savings,22,12,344,53
79,offsets,22,8,104,28
80,one,21,33,1743,66
81,targets,21,15,1472,63
82,installed,21,15,118,43
83,since,21,12,1094,64
84,mt,21,11,395,46
85,credits,21,9,111,32
86,added,21,4,216,51
87,nuclear,21,4,125,15
88,us,20,57,2211,66
89,site,20,26,1024,65
90,green,20,24,667,66
91,support,20,16,3727,66
92,manufacturing,20,13,1683,55
93,annually,20,11,485,59
94,avoided,20,11,130,30
95,plan,19,30,1131,66
96,two,19,17,883,65
97,customers,19,14,2840,63
98,nearly,19,14,449,57
99,first,19,13,1194,63
100,facility,19,13,488,58
101,footprint,19,10,962,62
102,oil,19,8,667,59
103,operated,19,4,220,45
104,set,18,27,1016,66
105,help,18,21,2990,65
106,offset,18,16,89,42
107,agreements,18,13,253,51
108,includes,18,12,1578,65
109,building,18,12,1226,65
110,levels,18,12,600,62
111,usage,18,12,355,49
112,using,18,10,1388,65
113,technologies,18,8,1179,61
114,amazon,18,3,622,19
115,totalenergies,18,1,279,2
116,electric,17,51,523,65
117,reach,17,14,496,64
118,increased,17,13,844,64
119,travel,17,13,538,59
120,solutions,17,12,1935,64
121,lower,17,12,386,65
122,progress,17,11,2965,66
123,investments,17,11,692,61
124,reductions,17,9,319,57
125,capture,17,8,189,55
126,tonnes,17,7,344,16
127,base,16,46,376,66
128,end,16,26,871,66
129,waste,16,14,3473,62
130,overall,16,11,662,64
131,renewables,16,9,210,34
132,addition,15,15,1131,66
133,air,15,14,962,66
134,plant,15,14,386,59
135,goals,15,12,2209,66
136,announced,15,12,355,53
137,supply,15,11,3665,64
138,technology,15,11,1720,63
139,largest,15,11,391,61
140,initiatives,15,10,1167,64
141,united,15,9,1025,64
142,dioxide,15,8,152,38
143,gw,15,7,74,28
144,based,14,29,1762,66
145,part,14,27,1595,66
146,decrease,14,19,192,58
147,used,14,16,1772,66
148,impact,14,11,4312,66
149,toward,14,11,755,66
150,activities,14,10,1209,63
151,operational,14,9,1040,64
152,around,14,8,1474,64
153,european,14,8,280,45
154,panels,14,8,75,36
155,include,13,19,1710,65
156,improve,13,19,1403,64
157,three,13,12,750,64
158,produce,13,12,293,60
159,almost,13,12,138,43
160,efforts,13,11,1919,66
161,management,13,10,5621,66
162,vehicles,13,10,400,49
163,committed,13,9,1385,64
164,resulting,13,9,231,57
165,lighting,13,9,103,43
166,plants,13,7,265,46
167,stores,13,6,563,24
168,coal,13,5,186,53
169,methane,13,4,310,23
170,campus,13,3,92,26
171,led,12,27,417,66
172,data,12,12,5439,65
173,continued,12,12,1195,64
174,develop,12,12,1053,66
175,transition,12,12,913,64
176,key,12,10,1890,66
177,hours,12,10,681,61
178,working,12,9,1741,65
179,clean,12,8,716,62
180,fuels,12,8,380,55
181,versus,12,8,149,33
182,array,12,8,45,27
183,strategy,12,7,2450,66
184,together,12,7,777,61
185,removal,12,7,146,28
186,kwh,12,6,76,20
187,sales,12,5,734,54
188,offshore,12,4,89,9
189,linde,12,1,1078,9
190,product,11,22,2984,65
191,agreement,11,20,300,64
192,made,11,11,1157,65
193,well,11,10,1689,65
194,improving,11,10,590,60
195,north,11,10,517,60
196,suppliers,11,9,3463,65
197,estimated,11,9,364,59
198,corporate,11,8,3213,64
199,billion,11,8,726,60
200,canada,11,8,540,48
201,completed,11,8,455,61
202,uk,11,6,239,43
203,delta,11,1,321,13
204,result,10,20,564,66
205,provide,10,15,1984,65
206,improvement,10,14,590,62
207,commitment,10,10,1934,65
208,grid,10,10,418,53
209,improvements,10,10,387,58
210,globally,10,9,899,60
211,growth,10,9,886,63
212,expected,10,9,302,57
213,years,10,8,1605,65
214,additional,10,8,1174,66
215,states,10,8,699,62
216,worldwide,10,8,499,54
217,conservation,10,8,322,54
218,purchases,10,8,122,38
219,sourcing,10,7,1331,58
220,several,10,7,660,65
221,sourced,10,7,293,48
222,buildings,10,7,240,41
223,neutrality,10,7,117,22
224,retired,10,6,47,20
225,flaring,10,4,66,5
226,emission,9,62,447,66
227,time,9,16,1352,66
228,neutral,9,13,123,39
229,change,9,11,2486,66
230,control,9,10,596,65
231,amount,9,10,396,61
232,environmental,9,9,4675,66
233,five,9,9,416,59
234,combined,9,9,303,53
235,recs,9,9,61,18
236,xe,9,9,4,65
237,opportunities,9,8,2234,65
238,less,9,8,555,64
239,owned,9,7,325,64
240,offices,9,7,282,49
241,represents,9,7,252,56
242,purchasing,9,7,158,40
243,remaining,9,7,118,42
244,enough,9,7,77,37
245,needs,9,6,981,62
246,helped,9,6,376,56
247,scopes,9,6,92,32
248,conventional,9,6,62,26
249,france,9,3,153,35
250,saf,9,3,139,65
251,contracted,9,3,137,24
252,bp,9,1,420,27
253,generate,8,21,166,64
254,continue,8,19,1685,65
255,avoid,8,19,186,54
256,drive,8,17,952,66
257,deliver,8,15,665,64
258,focus,8,14,1657,65
259,significant,8,13,1117,64
260,estimate,8,13,192,64
261,service,8,12,791,64
262,date,8,12,323,64
263,forest,8,12,316,49
264,installation,8,12,53,43
265,farm,8,10,153,41
266,save,8,9,173,53
267,utility,8,9,145,37
268,indirect,8,8,448,60
269,procurement,8,8,375,54
270,path,8,8,264,63
271,megawatts,8,8,75,15
272,ppas,8,8,46,17
273,focused,8,7,816,63
274,example,8,7,750,60
275,expanded,8,7,522,59
276,ambition,8,7,359,43
277,offering,8,7,232,59
278,contracts,8,7,142,43
279,installations,8,7,59,28
280,certificates,8,7,52,27
281,development,8,6,3461,65
282,employee,8,6,2593,63
283,systems,8,6,1170,63
284,pandemic,8,6,919,60
285,markets,8,6,865,60
286,times,8,6,263,57
287,alternative,8,6,259,59
288,driven,8,6,238,56
289,previous,8,6,221,59
290,spain,8,6,85,29
291,atmosphere,8,6,59,28
292,associated,8,5,661,63
293,basis,8,5,450,59
294,least,8,5,442,58
295,existing,8,5,406,57
296,entire,8,5,233,60
297,weight,8,5,196,46
298,charging,8,5,157,35
299,rooftop,8,5,39,15
300,equipment,8,4,584,61
301,gallons,8,4,255,40
302,generating,8,4,191,37
303,diesel,8,4,183,42
304,homes,8,4,139,37
305,gwh,8,3,19,6
306,industrial,8,2,383,51
307,divestments,8,2,21,5
308,apple,8,1,500,13
309,aep,8,1,429,2
310,tjx,8,1,279,1
311,source,7,31,698,66
312,low,7,29,261,66
313,market,7,18,761,66
314,saving,7,14,92,59
315,process,7,12,1965,65
316,vehicle,7,11,402,60
317,design,7,10,1054,66
318,program,7,9,4090,66
319,partners,7,9,1448,64
320,transport,7,8,217,65
321,sustainability,7,7,6984,66
322,sustainable,7,7,3595,65
323,address,7,7,1079,65
324,operating,7,7,831,63
325,launched,7,7,739,61
326,distribution,7,7,718,56
327,india,7,7,448,56
328,began,7,7,290,58
329,decade,7,7,140,57
330,installing,7,7,62,31
331,water,7,6,5362,65
332,make,7,6,1514,65
333,within,7,6,1416,65
334,included,7,6,1045,62
335,meet,7,6,926,65
336,cycle,7,6,342,64
337,revenue,7,6,328,61
338,delivery,7,6,328,53
339,resulted,7,6,174,48
340,heat,7,6,155,55
341,ground,7,6,126,60
342,countries,7,5,1051,58
343,transportation,7,5,537,62
344,south,7,5,284,54
345,forests,7,5,225,36
346,farms,7,5,125,23
347,kilowatt,7,5,15,15
348,developing,7,4,710,62
349,africa,7,4,459,56
350,invested,7,4,245,50
351,onsite,7,4,161,34
352,resources,7,3,1807,65
353,microsoft,7,3,407,16
354,refinery,7,3,82,8
355,shell,7,2,581,11
356,aircraft,7,2,177,17
357,nike,7,1,834,1
358,cisco,7,1,560,17
359,datacenters,7,1,66,1
360,line,6,40,448,66
361,ton,6,39,92,66
362,met,6,37,162,66
363,port,6,36,29,66
364,invest,6,22,339,66
365,unit,6,20,367,66
366,represent,6,17,280,65
367,build,6,16,962,65
368,initiative,6,15,989,65
369,need,6,14,909,65
370,world,6,13,2548,65
371,related,6,12,1356,66
372,investment,6,12,687,65
373,store,6,11,347,54
374,center,6,10,683,61
375,operate,6,8,697,65
376,office,6,8,357,63
377,signed,6,8,131,65
378,dow,6,7,1534,64
379,demand,6,7,469,63
380,virtual,6,7,439,57
381,materials,6,6,1944,61
382,services,6,6,1610,64
383,planet,6,6,776,50
384,next,6,6,545,62
385,centers,6,6,537,55
386,four,6,6,498,62
387,third,6,6,445,63
388,produced,6,6,293,50
389,paris,6,6,167,51
390,park,6,6,94,45
391,powered,6,6,88,53
392,partnership,6,5,779,61
393,average,6,5,596,61
394,like,6,5,585,65
395,achieving,6,5,513,63
396,units,6,5,482,51
397,would,6,5,473,61
398,currently,6,5,419,59
399,major,6,5,397,64
400,improved,6,5,389,57
401,implemented,6,5,378,59
402,past,6,5,344,60
403,upstream,6,5,336,47
404,along,6,5,295,63
405,space,6,5,267,51
406,already,6,5,242,53
407,decarbonization,6,5,229,34
408,steam,6,5,214,39
409,primarily,6,5,186,50
410,mix,6,5,172,50
411,covering,6,5,155,46
412,reporting,6,4,3041,66
413,plans,6,4,874,64
414,changes,6,4,685,64
415,locations,6,4,510,59
416,spend,6,4,422,61
417,aims,6,4,356,60
418,step,6,4,226,64
419,american,6,3,1001,60
420,delivered,6,3,207,52
421,reduces,6,3,119,42
422,later,6,3,64,40
423,ccs,6,3,43,11
424,pipeline,6,2,275,47
425,duke,6,2,275,8
426,deforestation,6,2,213,28
427,sooner,6,2,21,8
428,johnson,6,1,1103,11
429,near,5,18,124,61
430,work,5,17,3842,66
431,state,5,16,422,65
432,early,5,15,364,62
433,cover,5,15,199,64
434,expect,5,14,338,63
435,effort,5,14,298,66
436,hydro,5,14,41,45
437,science,5,11,861,63
438,partner,5,11,655,64
439,way,5,9,770,66
440,full,5,9,551,65
441,cost,5,9,410,65
442,material,5,8,1532,65
443,standard,5,8,966,65
444,area,5,8,467,64
445,prior,5,8,306,65
446,setting,5,8,284,60
447,public,5,7,1082,66
448,enable,5,7,636,62
449,maintain,5,7,500,62
450,providing,5,6,890,63
451,track,5,6,497,63
452,pilot,5,6,244,54
453,cooling,5,6,222,52
454,significantly,5,6,214,53
455,provides,5,5,960,63
456,following,5,5,861,65
457,provided,5,5,843,60
458,percentage,5,5,792,60
459,identified,5,5,675,64
460,network,5,5,661,62
461,ongoing,5,5,538,60
462,directly,5,5,479,64
463,online,5,5,474,61
464,others,5,5,425,60
465,implementation,5,5,401,57
466,without,5,5,396,62
467,advanced,5,5,364,48
468,logistics,5,5,358,44
469,continuing,5,5,348,57
470,become,5,5,316,60
471,powering,5,5,276,46
472,another,5,5,261,56
473,built,5,5,254,58
474,half,5,5,182,55
475,engine,5,5,114,57
476,utilization,5,5,60,33
477,saved,5,5,57,28
478,dollar,5,5,54,48
479,vppa,5,5,21,10
480,approach,5,4,3166,66
481,packaging,5,4,1720,45
482,research,5,4,989,61
483,helps,5,4,555,59
484,updated,5,4,376,60
485,construction,5,4,366,49
486,china,5,4,357,42
487,period,5,4,354,61
488,expanding,5,4,347,59
489,type,5,4,310,58
490,much,5,4,210,52
491,march,5,4,195,50
