,irr_word,irr_freq,irr_doc_freq
0,report,9012,66
1,employees,5957,60
2,governance,3147,65
3,human,2896,62
4,information,2869,66
5,gri,2442,66
6,community,2407,64
7,board,2355,64
8,rights,2355,61
9,training,2182,61
10,responsible,2113,63
11,page,1911,59
12,inclusion,1827,61
13,responsibility,1788,65
14,leadership,1600,64
15,women,1528,56
16,organization,1514,66
17,conduct,1497,65
18,ensure,1484,64
19,code,1482,58
20,assessment,1432,64
21,issues,1356,65
22,culture,1342,62
23,care,1342,60
24,ethics,1336,56
25,workforce,1290,60
26,overview,1264,41
27,education,1226,56
28,security,1221,63
29,foundation,1181,61
30,disclosure,1129,65
31,executive,1127,64
32,disclosures,1110,65
33,ceo,1073,61
34,members,1069,63
35,requirements,1056,59
36,directors,991,62
37,associates,989,18
38,labor,988,63
39,topics,969,60
40,index,967,58
41,learning,964,61
42,talent,954,54
43,workplace,953,57
44,values,928,62
45,recycled,896,59
46,transparency,893,65
47,experience,889,62
48,review,863,65
49,chapter,848,35
50,workers,829,58
51,framework,828,64
52,regulatory,817,63
53,privacy,812,48
54,tools,778,60
55,compensation,766,55
56,believe,765,64
57,officer,762,60
58,integrity,760,58
59,president,753,59
60,chief,744,58
61,tobacco,741,7
62,good,740,63
63,safe,736,64
64,digital,728,54
65,audit,727,60
66,events,722,61
67,oversight,712,57
68,gender,711,54
69,pay,703,59
70,learn,701,63
71,engage,696,65
72,skills,695,56
73,accountability,688,54
74,healthy,686,56
75,reports,678,63
76,partnerships,669,60
77,regulations,668,58
78,beyond,662,62
79,purpose,658,66
80,ways,649,64
81,analysis,649,61
82,iff,638,65
83,statements,636,59
84,place,633,66
85,ethical,632,55
86,sasb,619,56
87,priorities,612,58
88,black,607,54
89,assessments,606,59
90,personal,606,53
91,success,599,63
92,right,577,64
93,proxy,577,48
94,healthcare,575,37
95,top,569,64
96,physical,565,61
97,career,562,52
98,biodiversity,562,49
99,legal,560,60
100,awareness,557,59
101,laws,552,57
102,assess,549,66
103,patients,548,23
104,letter,547,55
105,topic,541,60
106,applicable,540,59
107,students,532,51
108,serve,528,65
109,farmers,524,25
110,ehs,522,21
111,range,517,63
112,medical,517,44
113,member,516,64
114,managing,516,63
115,read,514,64
116,concerns,514,54
117,website,510,62
118,tcfd,507,55
119,certification,506,54
120,vice,505,64
121,different,504,62
122,comprehensive,502,60
123,danaher,502,1
124,treatment,496,52
125,platform,494,62
126,clinical,493,18
127,representation,492,56
128,political,489,55
129,children,482,49
130,contents,482,46
131,association,480,60
132,understanding,480,59
133,guidance,476,59
134,lives,475,56
135,materiality,472,45
136,abbott,470,1
137,resilience,469,55
138,enhance,463,62
139,audits,459,51
140,survey,451,58
141,hershey,450,1
142,tax,438,52
143,managers,433,56
144,reviews,428,58
145,engaged,426,60
146,guidelines,425,58
147,ensuring,425,56
148,effective,424,64
149,mission,423,66
150,advancing,422,53
151,female,419,49
152,evaluate,417,63
153,accordance,413,56
154,colleagues,412,39
155,monitor,410,65
156,description,407,42
157,job,404,60
158,feedback,403,56
159,reflect,402,62
160,consistent,402,61
161,child,402,53
162,cybersecurity,401,41
163,ingredients,401,24
164,director,399,62
165,evaluation,399,55
166,outcomes,397,48
167,incidents,394,51
168,trade,392,60
169,brand,391,55
170,measure,389,65
171,chains,388,52
172,wellbeing,388,16
173,created,387,60
174,engineering,387,48
175,occupational,386,45
176,professional,385,55
177,unique,382,58
178,regular,380,61
179,snacking,380,2
180,employment,372,52
181,matters,371,64
182,robust,371,56
183,addressing,370,59
184,insights,369,48
185,roles,368,58
186,stem,367,65
187,experiences,366,54
188,agriculture,365,32
189,regularly,360,60
190,identifying,359,61
191,recognized,359,59
192,highlights,359,57
193,school,357,53
194,sdg,357,40
195,tier,356,54
196,essential,355,60
197,recognize,354,64
198,chemistry,353,27
199,youth,351,42
200,encourage,349,64
201,institute,348,57
202,contractors,348,45
203,modern,344,48
204,find,343,60
205,importance,342,59
206,committees,342,55
207,vision,340,62
208,palm,340,23
209,able,339,66
210,worked,339,58
211,mental,338,66
212,incident,337,56
213,technical,336,54
214,racial,336,50
215,positions,334,48
216,responsibly,331,50
217,strive,330,58
