,rel_word,rel_freq,rel_doc_freq
0,repowered,5,1
1,dozer,3,1
2,mws,2,2
3,hygreen,2,1
4,demolished,2,1
5,zeeland,2,1
6,biocatalysis,2,1
7,organocatalysis,2,1
8,sion,1,62
9,tric,1,56
10,teria,1,10
11,lc,1,7
12,porte,1,7
13,org,1,4
14,pletely,1,4
15,baler,1,1
16,propellants,1,1
17,kwp,1,1
18,pzev,1,1
19,fins,1,1
20,louvres,1,1
21,equalled,1,1
22,counterpart,1,1
23,powershift,1,1
24,uphill,1,1
25,kreuznach,1,1
26,brakes,1,1
27,seatback,1,1
28,intensification,1,1
29,apu,1,1
30,uprate,1,1
31,flexidao,1,1
32,borssele,1,1
33,specifying,1,1
34,climeworks,1,1
35,carbfix,1,1
36,communitree,1,1
37,carbofex,1,1
38,issuer,1,1
39,counterbalancing,1,1
40,inverter,1,1
41,breinigsville,1,1
42,polytetrafluoroethylene,1,1
43,ptfe,1,1
44,trellis,1,1
45,cosmo,1,1
46,zizhu,1,1
47,florescent,1,1
48,maryneal,1,1
49,depressurized,1,1
50,rockport,1,1
51,quadruple,1,1
52,aquired,1,1
53,clearway,1,1
54,mörknässkogen,1,1
55,tilt,1,1
56,methanec,1,1
57,forêt,1,1
58,ressources,1,1
59,motorways,1,1
60,foinaven,1,1
61,zaragoza,1,1
62,vendima,1,1
63,agt,1,1
64,bidders,1,1
65,mona,1,1
66,morven,1,1
67,cordilleria,1,1
68,naturales,1,1
69,platte,1,1
70,seine,1,1
71,depeleted,1,1
72,cima,1,1
73,centro,1,1
74,investigacion,1,1
75,manejo,1,1
76,lacq,1,1
77,carville,1,1
78,halved,1,1
79,relinquished,1,1
80,bengkulu,1,1
81,genneia,1,1
82,kariba,1,1
83,operatorship,1,1
84,vfd,1,1
85,vfds,1,1
86,pittsylvania,1,1
87,alcalá,1,1
88,guadaíra,1,1
89,cavar,1,1
90,tepana,1,1
91,earnest,1,1
92,mesquite,1,1
93,husks,1,1
94,qgc,1,1
95,skarbimierz,1,1
96,workhours,1,1
97,claremont,1,1
98,transacted,1,1
99,slmg,1,1
